"","Dataset","Subject","Activity","Measurement","Value"
"1","test","2","LAYING","a(tBodyAccJerkMean),gravityMean)",-0.00635557646875
"2","test","2","LAYING","a(tBodyAccMean,gravity)",0.005791809625
"3","test","2","LAYING","a(tBodyGyroJerkMean,gravityMean)",-0.0293710088554167
"4","test","2","LAYING","a(tBodyGyroMean,gravityMean)",0.0652860108125
"5","test","2","LAYING","a(X,gravityMean)",0.617423415625
"6","test","2","LAYING","a(Y,gravityMean)",-0.519732551458333
"7","test","2","LAYING","a(Z,gravityMean)",-0.478928233958333
"8","test","2","LAYING","fBodyAcc-mean-X",-0.976725059791667
"9","test","2","LAYING","fBodyAcc-mean-X.1",-0.146482792591667
"10","test","2","LAYING","fBodyAcc-mean-Y",-0.979800877916667
"11","test","2","LAYING","fBodyAcc-mean-Y.1",0.2572894655
"12","test","2","LAYING","fBodyAcc-mean-Z",-0.984380981875
"13","test","2","LAYING","fBodyAcc-mean-Z.1",0.402532553395833
"14","test","2","LAYING","fBodyAcc-std-X",-0.973246482083333
"15","test","2","LAYING","fBodyAcc-std-Y",-0.981025105625
"16","test","2","LAYING","fBodyAcc-std-Z",-0.984792185
"17","test","2","LAYING","fBodyAccJerk-mean-X",-0.985813630833333
"18","test","2","LAYING","fBodyAccJerk-mean-X.1",0.159808328563875
"19","test","2","LAYING","fBodyAccJerk-mean-Y",-0.982768250416667
"20","test","2","LAYING","fBodyAccJerk-mean-Y.1",0.1212064240125
"21","test","2","LAYING","fBodyAccJerk-mean-Z",-0.986197134583333
"22","test","2","LAYING","fBodyAccJerk-mean-Z.1",0.190558218145833
"23","test","2","LAYING","fBodyAccJerk-std-X",-0.987250255833333
"24","test","2","LAYING","fBodyAccJerk-std-Y",-0.984987392916667
"25","test","2","LAYING","fBodyAccJerk-std-Z",-0.989345368541667
"26","test","2","LAYING","fBodyAccJerkMag-mean",-0.985374114791667
"27","test","2","LAYING","fBodyAccJerkMag-mean.1",0.3417585745
"28","test","2","LAYING","fBodyAccJerkMag-std",-0.984568489166667
"29","test","2","LAYING","fBodyAccMag-mean",-0.975110196458333
"30","test","2","LAYING","fBodyAccMag-mean.1",0.2662982125
"31","test","2","LAYING","fBodyAccMag-std",-0.975121387916667
"32","test","2","LAYING","fBodyGyro-mean-X",-0.9864311425
"33","test","2","LAYING","fBodyGyro-mean-X.1",0.10261131938125
"34","test","2","LAYING","fBodyGyro-mean-Y",-0.983321635416667
"35","test","2","LAYING","fBodyGyro-mean-Y.1",0.04228066839375
"36","test","2","LAYING","fBodyGyro-mean-Z",-0.9626718875
"37","test","2","LAYING","fBodyGyro-mean-Z.1",0.0552985986479167
"38","test","2","LAYING","fBodyGyro-std-X",-0.988860685833333
"39","test","2","LAYING","fBodyGyro-std-Y",-0.981910616458333
"40","test","2","LAYING","fBodyGyro-std-Z",-0.963174222291667
"41","test","2","LAYING","fBodyGyroJerkMag-mean",-0.990248702291667
"42","test","2","LAYING","fBodyGyroJerkMag-mean.1",0.264801505395833
"43","test","2","LAYING","fBodyGyroJerkMag-std",-0.989492660416667
"44","test","2","LAYING","fBodyGyroMag-mean",-0.972112972708333
"45","test","2","LAYING","fBodyGyroMag-mean.1",0.01856447223125
"46","test","2","LAYING","fBodyGyroMag-std",-0.96109837875
"47","test","2","LAYING","tBodyAcc-mean-X",0.281373403958333
"48","test","2","LAYING","tBodyAcc-mean-Y",-0.0181587397583333
"49","test","2","LAYING","tBodyAcc-mean-Z",-0.107245610416667
"50","test","2","LAYING","tBodyAcc-std-X",-0.974059464791667
"51","test","2","LAYING","tBodyAcc-std-Y",-0.98027739875
"52","test","2","LAYING","tBodyAcc-std-Z",-0.984233296875
"53","test","2","LAYING","tBodyAccJerk-mean-X",0.0825972511666667
"54","test","2","LAYING","tBodyAccJerk-mean-Y",0.012254788451875
"55","test","2","LAYING","tBodyAccJerk-mean-Z",-0.00180264895625
"56","test","2","LAYING","tBodyAccJerk-std-X",-0.98587216875
"57","test","2","LAYING","tBodyAccJerk-std-Y",-0.98317254125
"58","test","2","LAYING","tBodyAccJerk-std-Z",-0.988442014375
"59","test","2","LAYING","tBodyAccJerkMag-mean",-0.987741696041667
"60","test","2","LAYING","tBodyAccJerkMag-std",-0.98551807625
"61","test","2","LAYING","tBodyAccMag-mean",-0.977435485208333
"62","test","2","LAYING","tBodyAccMag-std",-0.972873912916667
"63","test","2","LAYING","tBodyGyro-mean-X",-0.01847660675
"64","test","2","LAYING","tBodyGyro-mean-Y",-0.111800824583333
"65","test","2","LAYING","tBodyGyro-mean-Z",0.144882846104167
"66","test","2","LAYING","tBodyGyro-std-X",-0.988275232916667
"67","test","2","LAYING","tBodyGyro-std-Y",-0.982291608958333
"68","test","2","LAYING","tBodyGyro-std-Z",-0.960306560416667
"69","test","2","LAYING","tBodyGyroJerk-mean-X",-0.101974134208333
"70","test","2","LAYING","tBodyGyroJerk-mean-Y",-0.0358590176083333
"71","test","2","LAYING","tBodyGyroJerk-mean-Z",-0.0701783020833333
"72","test","2","LAYING","tBodyGyroJerk-std-X",-0.993235849166667
"73","test","2","LAYING","tBodyGyroJerk-std-Y",-0.989567537916667
"74","test","2","LAYING","tBodyGyroJerk-std-Z",-0.98803582125
"75","test","2","LAYING","tBodyGyroJerkMag-mean",-0.991767074166667
"76","test","2","LAYING","tBodyGyroJerkMag-std",-0.989718095208333
"77","test","2","LAYING","tBodyGyroMag-mean",-0.950011569583333
"78","test","2","LAYING","tBodyGyroMag-std",-0.961164053958333
"79","test","2","LAYING","tGravityAcc-mean-X",-0.509754238125
"80","test","2","LAYING","tGravityAcc-mean-Y",0.752536639375
"81","test","2","LAYING","tGravityAcc-mean-Z",0.646834879583333
"82","test","2","LAYING","tGravityAcc-std-X",-0.959014441458333
"83","test","2","LAYING","tGravityAcc-std-Y",-0.988211865208333
"84","test","2","LAYING","tGravityAcc-std-Z",-0.984230418125
"85","test","2","LAYING","tGravityAccMag-mean",-0.977435485208333
"86","test","2","LAYING","tGravityAccMag-std",-0.972873912916667
"87","test","2","SITTING","a(tBodyAccJerkMean),gravityMean)",-0.00339286689565217
"88","test","2","SITTING","a(tBodyAccMean,gravity)",0.0395284311165435
"89","test","2","SITTING","a(tBodyGyroJerkMean,gravityMean)",-0.0762041966043478
"90","test","2","SITTING","a(tBodyGyroMean,gravityMean)",0.0209731695434783
"91","test","2","SITTING","a(X,gravityMean)",-0.774436094565217
"92","test","2","SITTING","a(Y,gravityMean)",0.155857278304348
"93","test","2","SITTING","a(Z,gravityMean)",-0.118224398621739
"94","test","2","SITTING","fBodyAcc-mean-X",-0.985803840652174
"95","test","2","SITTING","fBodyAcc-mean-X.1",0.08519282071
"96","test","2","SITTING","fBodyAcc-mean-Y",-0.957343498478261
"97","test","2","SITTING","fBodyAcc-mean-Y.1",0.150193956163043
"98","test","2","SITTING","fBodyAcc-mean-Z",-0.970162172608696
"99","test","2","SITTING","fBodyAcc-mean-Z.1",0.0960646759586957
"100","test","2","SITTING","fBodyAcc-std-X",-0.98736209
"101","test","2","SITTING","fBodyAcc-std-Y",-0.950073754130435
"102","test","2","SITTING","fBodyAcc-std-Z",-0.956862864130435
"103","test","2","SITTING","fBodyAccJerk-mean-X",-0.987848793695652
"104","test","2","SITTING","fBodyAccJerk-mean-X.1",0.305546818084783
"105","test","2","SITTING","fBodyAccJerk-mean-Y",-0.977139702826087
"106","test","2","SITTING","fBodyAccJerk-mean-Y.1",0.0262448647134783
"107","test","2","SITTING","fBodyAccJerk-mean-Z",-0.985129050217391
"108","test","2","SITTING","fBodyAccJerk-mean-Z.1",0.0929030630369565
"109","test","2","SITTING","fBodyAccJerk-std-X",-0.989459107391304
"110","test","2","SITTING","fBodyAccJerk-std-Y",-0.980804228478261
"111","test","2","SITTING","fBodyAccJerk-std-Z",-0.988570804130435
"112","test","2","SITTING","fBodyAccJerkMag-mean",-0.983874698913043
"113","test","2","SITTING","fBodyAccJerkMag-mean.1",0.280062423956522
"114","test","2","SITTING","fBodyAccJerkMag-std",-0.984124185869565
"115","test","2","SITTING","fBodyAccMag-mean",-0.96127374826087
"116","test","2","SITTING","fBodyAccMag-mean.1",0.130934202854348
"117","test","2","SITTING","fBodyAccMag-std",-0.955575602173913
"118","test","2","SITTING","fBodyGyro-mean-X",-0.982621389565217
"119","test","2","SITTING","fBodyGyro-mean-X.1",0.130523120891304
"120","test","2","SITTING","fBodyGyro-mean-Y",-0.982100923695652
"121","test","2","SITTING","fBodyGyro-mean-Y.1",-0.192142737913043
"122","test","2","SITTING","fBodyGyro-mean-Z",-0.959814822391304
"123","test","2","SITTING","fBodyGyro-mean-Z.1",0.0409472348676087
"124","test","2","SITTING","fBodyGyro-std-X",-0.986808501521739
"125","test","2","SITTING","fBodyGyro-std-Y",-0.977356188695652
"126","test","2","SITTING","fBodyGyro-std-Z",-0.963522659782609
"127","test","2","SITTING","fBodyGyroJerkMag-mean",-0.989861950869565
"128","test","2","SITTING","fBodyGyroJerkMag-mean.1",0.1947221493
"129","test","2","SITTING","fBodyGyroJerkMag-std",-0.989632908913043
"130","test","2","SITTING","fBodyGyroMag-mean",-0.971840596086956
"131","test","2","SITTING","fBodyGyroMag-mean.1",-0.106358909173913
"132","test","2","SITTING","fBodyGyroMag-std",-0.961385745217391
"133","test","2","SITTING","tBodyAcc-mean-X",0.27708735173913
"134","test","2","SITTING","tBodyAcc-mean-Y",-0.0156879937282609
"135","test","2","SITTING","tBodyAcc-mean-Z",-0.109218272456522
"136","test","2","SITTING","tBodyAcc-std-X",-0.986822279565217
"137","test","2","SITTING","tBodyAcc-std-Y",-0.950704499130435
"138","test","2","SITTING","tBodyAcc-std-Z",-0.95982817173913
"139","test","2","SITTING","tBodyAccJerk-mean-X",0.0722564387173913
"140","test","2","SITTING","tBodyAccJerk-mean-Y",0.0116954511323913
"141","test","2","SITTING","tBodyAccJerk-mean-Z",0.00760546929869565
"142","test","2","SITTING","tBodyAccJerk-std-X",-0.988055854130435
"143","test","2","SITTING","tBodyAccJerk-std-Y",-0.977983955434783
"144","test","2","SITTING","tBodyAccJerk-std-Z",-0.98751821173913
"145","test","2","SITTING","tBodyAccJerkMag-mean",-0.986774713043478
"146","test","2","SITTING","tBodyAccJerkMag-std",-0.984475868043478
"147","test","2","SITTING","tBodyAccMag-mean",-0.967893623913043
"148","test","2","SITTING","tBodyAccMag-std",-0.953081444130435
"149","test","2","SITTING","tBodyGyro-mean-X",-0.0454706620434783
"150","test","2","SITTING","tBodyGyro-mean-Y",-0.0599286797043478
"151","test","2","SITTING","tBodyGyro-mean-Z",0.0412277462173913
"152","test","2","SITTING","tBodyGyro-std-X",-0.985742027826087
"153","test","2","SITTING","tBodyGyro-std-Y",-0.978919526956522
"154","test","2","SITTING","tBodyGyro-std-Z",-0.959803708695652
"155","test","2","SITTING","tBodyGyroJerk-mean-X",-0.0936328412826087
